Weir Name,Year,Obs Date,Obs Day (mm/dd),Weir Count Type,Species,Maturity,Count
Hugh Smith,1967,1967-06-01,06/01,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-02,06/02,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-03,06/03,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-04,06/04,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-05,06/05,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-06,06/06,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-07,06/07,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-08,06/08,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-09,06/09,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-11,06/11,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-12,06/12,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-06-30,06/30,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-07-01,07/01,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-07-16,07/16,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-07-17,07/17,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-07-24,07/24,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-08-02,08/02,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-08-03,08/03,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-04,08/04,Counted live,Coho,Adult,3
Hugh Smith,1967,1967-08-05,08/05,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-06,08/06,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-07,08/07,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-07,08/07,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-09,08/09,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-10,08/10,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-11,08/11,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-12,08/12,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-13,08/13,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-14,08/14,Counted live,Coho,Adult,2
Hugh Smith,1967,1967-08-15,08/15,Zero fish observed,Coho,Adult,0
Hugh Smith,1967,1967-08-16,08/16,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-17,08/17,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-18,08/18,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-19,08/19,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-20,08/20,Counted live,Coho,Adult,2
Hugh Smith,1967,1967-08-21,08/21,Counted live,Coho,Adult,6
Hugh Smith,1967,1967-08-22,08/22,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-23,08/23,Counted live,Coho,Adult,8
Hugh Smith,1967,1967-08-24,08/24,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-25,08/25,Counted live,Coho,Adult,2
Hugh Smith,1967,1967-08-26,08/26,Flood event - no count,Coho,Adult,0
Hugh Smith,1967,1967-08-27,08/27,Estimated live,Coho,Adult,40
Hugh Smith,1967,1967-08-28,08/28,Counted live,Coho,Adult,0
Hugh Smith,1967,1967-08-29,08/29,Counted live,Coho,Adult,1
Hugh Smith,1967,1967-08-30,08/30,Counted live,Coho,Adult,6
Hugh Smith,1967,1967-08-31,08/31,Counted live,Coho,Adult,5
Hugh Smith,1967,1967-09-01,09/01,Counted live,Coho,Adult,37
Hugh Smith,1967,1967-09-02,09/02,Counted live,Coho,Adult,39
Hugh Smith,1967,1967-09-03,09/03,Estimated live,Coho,Adult,110
Hugh Smith,1981,1981-06-10,06/10,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-06-11,06/11,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-06-19,06/19,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-07-20,07/20,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-07-22,07/22,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-08-13,08/13,Zero fish observed,Coho,Adult,0
Hugh Smith,1981,1981-09-09,09/09,Zero fish observed,Coho,Adult,0
Hugh Smith,1982,1982-08-01,08/01,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-08-12,08/12,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-08-13,08/13,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-08-14,08/14,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-08-15,08/15,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-08-16,08/16,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-08-17,08/17,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-08-18,08/18,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-08-19,08/19,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-08-20,08/20,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-08-22,08/22,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-08-24,08/24,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-08-26,08/26,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-08-27,08/27,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-08-28,08/28,Counted live,Coho,Adult,7
Hugh Smith,1982,1982-08-30,08/30,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-08-31,08/31,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-09-01,09/01,Counted live,Coho,Adult,66
Hugh Smith,1982,1982-09-02,09/02,Counted live,Coho,Adult,63
Hugh Smith,1982,1982-09-03,09/03,Counted live,Coho,Adult,22
Hugh Smith,1982,1982-09-04,09/04,Counted live,Coho,Adult,9
Hugh Smith,1982,1982-09-05,09/05,Counted live,Coho,Adult,20
Hugh Smith,1982,1982-09-06,09/06,Counted live,Coho,Adult,50
Hugh Smith,1982,1982-09-07,09/07,Counted live,Coho,Adult,34
Hugh Smith,1982,1982-09-08,09/08,Counted live,Coho,Adult,12
Hugh Smith,1982,1982-09-09,09/09,Counted live,Coho,Adult,14
Hugh Smith,1982,1982-09-10,09/10,Counted live,Coho,Adult,14
Hugh Smith,1982,1982-09-11,09/11,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-09-12,09/12,Counted live,Coho,Adult,14
Hugh Smith,1982,1982-09-13,09/13,Counted live,Coho,Adult,21
Hugh Smith,1982,1982-09-14,09/14,Counted live,Coho,Adult,14
Hugh Smith,1982,1982-09-15,09/15,Counted live,Coho,Adult,8
Hugh Smith,1982,1982-09-16,09/16,Counted live,Coho,Adult,39
Hugh Smith,1982,1982-09-17,09/17,Counted live,Coho,Adult,29
Hugh Smith,1982,1982-09-18,09/18,Counted live,Coho,Adult,18
Hugh Smith,1982,1982-09-19,09/19,Counted live,Coho,Adult,20
Hugh Smith,1982,1982-09-20,09/20,Counted live,Coho,Adult,8
Hugh Smith,1982,1982-09-21,09/21,Counted live,Coho,Adult,9
Hugh Smith,1982,1982-09-22,09/22,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-09-23,09/23,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-09-24,09/24,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-09-25,09/25,Counted live,Coho,Adult,6
Hugh Smith,1982,1982-09-26,09/26,Counted live,Coho,Adult,6
Hugh Smith,1982,1982-09-27,09/27,Counted live,Coho,Adult,6
Hugh Smith,1982,1982-09-28,09/28,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-09-29,09/29,Counted live,Coho,Adult,10
Hugh Smith,1982,1982-09-30,09/30,Counted live,Coho,Adult,10
Hugh Smith,1982,1982-10-01,10/01,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-10-02,10/02,Counted live,Coho,Adult,55
Hugh Smith,1982,1982-10-03,10/03,Counted live,Coho,Adult,11
Hugh Smith,1982,1982-10-04,10/04,Counted live,Coho,Adult,86
Hugh Smith,1982,1982-10-05,10/05,Counted live,Coho,Adult,25
Hugh Smith,1982,1982-10-06,10/06,Counted live,Coho,Adult,20
Hugh Smith,1982,1982-10-07,10/07,Counted live,Coho,Adult,28
Hugh Smith,1982,1982-10-08,10/08,Counted live,Coho,Adult,13
Hugh Smith,1982,1982-10-09,10/09,Counted live,Coho,Adult,88
Hugh Smith,1982,1982-10-10,10/10,Counted live,Coho,Adult,386
Hugh Smith,1982,1982-10-11,10/11,Counted live,Coho,Adult,386
Hugh Smith,1982,1982-10-12,10/12,Counted live,Coho,Adult,170
Hugh Smith,1982,1982-10-13,10/13,Counted live,Coho,Adult,0
Hugh Smith,1982,1982-10-14,10/14,Counted live,Coho,Adult,0
Hugh Smith,1982,1982-10-15,10/15,Counted live,Coho,Adult,17
Hugh Smith,1982,1982-10-16,10/16,Counted live,Coho,Adult,6
Hugh Smith,1982,1982-10-17,10/17,Counted live,Coho,Adult,19
Hugh Smith,1982,1982-10-18,10/18,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-10-19,10/19,Counted live,Coho,Adult,36
Hugh Smith,1982,1982-10-20,10/20,Counted live,Coho,Adult,21
Hugh Smith,1982,1982-10-21,10/21,Counted live,Coho,Adult,22
Hugh Smith,1982,1982-10-22,10/22,Counted live,Coho,Adult,11
Hugh Smith,1982,1982-10-23,10/23,Counted live,Coho,Adult,14
Hugh Smith,1982,1982-10-24,10/24,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-10-25,10/25,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-10-26,10/26,Counted live,Coho,Adult,5
Hugh Smith,1982,1982-10-27,10/27,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-10-28,10/28,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-10-29,10/29,Counted live,Coho,Adult,7
Hugh Smith,1982,1982-10-30,10/30,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-10-31,10/31,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-11-01,11/01,Counted live,Coho,Adult,11
Hugh Smith,1982,1982-11-02,11/02,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-11-03,11/03,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-11-04,11/04,Counted live,Coho,Adult,4
Hugh Smith,1982,1982-11-05,11/05,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-11-06,11/06,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-11-07,11/07,Counted live,Coho,Adult,2
Hugh Smith,1982,1982-11-08,11/08,Counted live,Coho,Adult,0
Hugh Smith,1982,1982-11-09,11/09,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-11-10,11/10,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-11-11,11/11,Counted live,Coho,Adult,3
Hugh Smith,1982,1982-11-12,11/12,Counted live,Coho,Adult,1
Hugh Smith,1982,1982-11-13,11/13,Counted live,Coho,Adult,0
