Sequential Number,Year,Date of Landing,DFE Stat Week,Gear,Harvest Name,Region,Stat Area,Salmon Mgmt District,Species Code,Landed Weight (sum),Number Of Animals (sum)
,2023,2023-06-24,25,Purse seine,State managed fishery,1,11155,111,430,9,2
,2023,2023-06-25,26,Purse seine,State managed fishery,1,10128,101,430,11,2
,2023,2023-06-26,26,Fish ladder/race way,State managed fishery,1,11155,111,430,4,1
,2023,2023-06-28,26,Purse seine,State managed fishery,1,11155,111,430,5,1
,2023,2023-06-30,26,Purse seine,State managed fishery,1,11155,111,430,7,1
,2023,2023-06-30,26,Purse seine,State managed fishery,1,11216,112,430,116,19
,2023,2023-07-01,26,Purse seine,State managed fishery,1,11155,111,430,19,3
,2023,2023-07-05,27,Purse seine,State managed fishery,1,11155,111,430,95,16
,2023,2023-07-06,27,Purse seine,State managed fishery,1,11155,111,430,98,16
,2023,2023-07-07,27,Purse seine,State managed fishery,1,10128,101,430,637,116
,2023,2023-07-07,27,Purse seine,State managed fishery,1,11216,112,430,36,7
,2023,2023-07-08,27,Purse seine,State managed fishery,1,11155,111,430,197,39
,2023,2023-07-09,28,Drift gillnet,State managed fishery,1,10111,101,430,8,1
,2023,2023-07-10,28,Purse seine,State managed fishery,1,11155,111,430,87,15
,2023,2023-07-11,28,Purse seine,State managed fishery,1,11143,111,430,10,2
,2023,2023-07-11,28,Purse seine,State managed fishery,1,11155,111,430,157,27
,2023,2023-07-12,28,Purse seine,State managed fishery,1,11155,111,430,33,6
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,335601,,430,3,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,335602,,430,0.6,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,335633,,430,0.2,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,345533,,430,0.8,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,345603,,430,5.8,1
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,345604,,430,2.6,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,345607,,430,0.4,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,345631,,430,1.6,0
,2023,2023-07-13,28,Longline (hook and line),Test fishery - long term stock assessment,1,355601,,430,5,1
,2023,2023-07-13,28,Purse seine,State managed fishery,1,11143,111,430,28,4
,2023,2023-07-13,28,Purse seine,State managed fishery,1,11222,112,430,501,73
,2023,2023-07-13,28,Purse seine,State managed fishery,1,11241,112,430,343,71
,2023,2023-07-14,28,Purse seine,State managed fishery,1,11265,112,430,93,15
,2023,2023-07-16,29,Purse seine,State managed fishery,1,11143,111,430,90,15
,2023,2023-07-17,29,Purse seine,State managed fishery,1,11155,111,430,125,22
,2023,2023-07-19,29,Drift gillnet,State managed fishery,1,11338,113,430,7,1
,2023,2023-07-19,29,Purse seine,State managed fishery,1,11143,111,430,99,16
,2023,2023-07-21,29,Purse seine,State managed fishery,1,11216,112,430,22,4
,2023,2023-07-24,30,Purse seine,State managed fishery,1,10128,101,430,104,22
,2023,2023-07-29,30,Purse seine,State managed fishery,1,10128,101,430,124,21
,2023,2023-08-01,31,Drift gillnet,State managed fishery,1,10124,101,430,10,2
,2023,2023-08-01,31,Drift gillnet,State managed fishery,1,10810,108,430,24,4
,2023,2023-08-01,31,Drift gillnet,State managed fishery,1,10860,108,430,386,78
,2023,2023-08-01,31,Longline (hook and line),Federally managed (Groundfish),1,335535,,430,,2
,2023,2023-08-02,31,Drift gillnet,State managed fishery,1,10128,101,430,130,24
,2023,2023-08-03,31,Purse seine,State managed fishery,1,11155,111,430,26,4
,2023,2023-08-06,32,Purse seine,State managed fishery,1,11155,111,430,125,21
,2023,2023-08-07,32,Drift gillnet,State managed fishery,1,11511,115,430,12,2
,2023,2023-08-07,32,Drift gillnet,State managed fishery,1,11534,115,430,22,3
,2023,2023-08-08,32,Drift gillnet,State managed fishery,1,10630,106,430,52,10
,2023,2023-08-08,32,Drift gillnet,State managed fishery,1,11510,115,430,86,11
,2023,2023-08-08,32,Drift gillnet,State managed fishery,1,11513,111,430,33,4
,2023,2023-08-08,32,Drift gillnet,State managed fishery,1,11534,115,430,17,2
,2023,2023-08-09,32,Drift gillnet,State managed fishery,1,11531,115,430,17,3
,2023,2023-08-09,32,Purse seine,State managed fishery,1,11219,112,430,673,117
,2023,2023-08-10,32,Drift gillnet,State managed fishery,1,11531,115,430,28,4
,2023,2023-08-10,32,Drift gillnet,State managed fishery,1,11534,115,430,25,4
,2023,2023-08-10,32,Purse seine,State managed fishery,1,10128,101,430,121,22
,2023,2023-08-10,32,Purse seine,State managed fishery,1,10142,101,430,67,12
,2023,2023-08-11,32,Drift gillnet,State managed fishery,1,11534,115,430,44,6
