This Agency Report was generated on 9/14/2023 2:57:42 PM by the:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Department of Fish and Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Tag & Age Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfg.dcf.cwtstaff@alaska.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(907) 465-3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO BOX 115526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau AK 99811-5526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria for this report included:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Years: 2023,2022,2021,2020,2019,2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agencies: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rearing codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Location: %HUGH SMITH%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Site:%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species codes: 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip Status: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tag Status codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tag codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Type codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StatWeek CWT: 1,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does NOT include records with null Status Week values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
